"msg_id","msg_level","msg_area","msg_name","msg_desc"
"3000-0152","INFO","Firewall / Packet Filter","IPv4 source route attack","IPv4 source route attack was detected."
"3000-0153","INFO","Firewall / Packet Filter","IPv4 SYN flood attack","IPv4 SYN flood attack was detected."
"3000-0154","INFO","Firewall / Packet Filter","IPv4 ICMP flood attack","IPv4 ICMP flood attack was detected."
"3000-0157","INFO","Firewall / Packet Filter","IPv4 IKE flood attack","IPv4 IKE flood attack was detected"
"3000-0156","INFO","Firewall / Packet Filter","IPv4 IPSEC flood attack","IPv4 IPSEC flood attack was detected."
"3000-0155","INFO","Firewall / Packet Filter","IPv4 UDP flood attack","IPv4 UDP flood attack was detected."
"3000-0158","INFO","Firewall / Packet Filter","IPv4 scan attack","IPv4 scan attack was detected."
"3000-0161","INFO","Firewall / Packet Filter","IPv4 DDOS attack from client","IPv4 DDOS attack from a client was detected."
"3000-0159","INFO","Firewall / Packet Filter","IPv4 port scan attack","IPv4 port scan attack was detected."
"3000-0160","INFO","Firewall / Packet Filter","IPv4 DDOS against server","IPv4 DDOS attack against a server was detected."
"3000-0162","INFO","Firewall / Packet Filter","IPv6 SYN flood attack","IPv6 SYN flood attack was detected."
"3000-0164","INFO","Firewall / Packet Filter","IPv6 UDP flood attack","IPv6 UDP flood attack was detected."
"3000-0165","INFO","Firewall / Packet Filter","IPv6 IPSEC flood attack","IPv6 IPSEC flood attack was detected."
"3000-0163","INFO","Firewall / Packet Filter","IPv6 ICMP flood attack","IPv6 ICMP flood attack was detected."
"3000-0166","INFO","Firewall / Packet Filter","IPv6 IKE flood attack","IPv6 IKE flood attack was detected."
"3000-0168","INFO","Firewall / Packet Filter","Blocked site","Traffic was detected to or from a blocked site."
"3000-0169","INFO","Firewall / Packet Filter","IP spoofing","IP spoofing was detected from the IP address specified in the log message."
"3000-0167","INFO","Firewall / Packet Filter","Alarm Traffic matched policy","An alarm log message was sent for traffic that matched the specified policy."
"3000-0170","INFO","Firewall / Packet Filter","Connection table high water mark","The total number of current sessions reached the high water mark (80%) of the maximum connection table."
"3000-0171","INFO","Firewall / Packet Filter","Conntrack table is full","The conntrack table is full. The number of connections has reached the configured limit."
"3000-0172","INFO","Firewall / Packet Filter","Blocked port","Traffic was detected on a blocked port."
"3000-002A","INFO","Firewall / Packet Filter","Address already blocked","IP address %s will not be added to the blocked sites list because it already exists."
"3000-003A","ERROR","Firewall / Packet Filter","Unable to read feature keys","Unable to read feature keys file or fail to parse feature keys file. Features that require a correct feature key will not function."
"3000-003C","ERROR","Firewall / Packet Filter","No route to HTTP redirect host","Route look up on HTTP redirect host for the specified policy failed, and local HTTP redirect may not work."
"3000-012D","INFO","Firewall / Packet Filter","Verify ARP entry","The appliance sent an ARP request to verify learned ARP entry for a given host."
"3000-012E","ERROR","Firewall / Packet Filter","Possible loop or ARP spoofing detected","The appliance received an ARP packet sent from one of its own MAC addresses."
"3000-0006","INFO","Firewall / Packet Filter","Feature settings updated","Firewall settings for the feature specified in the message have been updated"
"3000-0007","INFO","Firewall / Packet Filter","DNS forwarding deferred","DNS server IP address is not yet known, device will enable DNS when a DNS server IP address is detected"
"3000-0029","INFO","Firewall / Packet Filter","Address exempted from blocked sites","The particular IP address is an exemption and will not be added to the blocked sites list"
"3000-0027","INFO","Firewall / Packet Filter","Firewall is starting up","Firewall is starting up"
"3000-0028","INFO","Firewall / Packet Filter","Firewall is shutting down","Firewall is shutting down"
"3000-0040","INFO","Firewall / Packet Filter","Blocked site idle timeout","Idle timeout has occurred for the specified blocked site, and it will be removed from the blocked sites list."
"3000-00C9","INFO","Firewall / Packet Filter","Load Balance Server(TCP Probe)","Load Balance Server status update due to response or lack of response to a TCP Probe packet."
"3000-00CB","INFO","Firewall / Packet Filter","Load Balance Server(ICMP Probe)","Update to status of Load Balance Server due to success or failure of ICMP Probe packet."
"3000-002F","INFO","Firewall / Packet Filter","Feature not supported by feature key","The device feature key does not support the specified feature."
